평가년도,도서관구분,도서관코드,도서관명,행정구역,시군구,장서수,사서수,대출자수,대출권수,도서예산
2022,LIBTYPE000003,221011,동주대학교 도서관,부산,사하구,124275,1,412,9205,63942510
2022,LIBTYPE000003,241054,두원공과대학교 도서관,경기,안성시,135752,2,306,2520,81096319
2022,LIBTYPE000003,211110,디지털서울문화예술대학교 도서관,서울,서대문구,10581,0,202,1020,6600000
2022,LIBTYPE000003,241017,루터대학교 도서관,경기,용인시,41068,1,181,1178,27507280
2022,LIBTYPE000003,248005,마산대학교 도서관,경남,창원시,205500,1,948,11376,129253360
2022,LIBTYPE000003,211023,명지대학교 도서관,서울,서대문구,1669503,9,5261,67364,736774911
2022,LIBTYPE000003,211024,명지전문대학 도서관,서울,서대문구,261275,0,662,11802,154314640
2022,LIBTYPE000003,225006,목원대학교 도서관,대전,서구,711933,3,2021,28614,515570853
2022,LIBTYPE000003,246005,목포가톨릭대학교 도서관,전남,목포시,51614,1,135,2327,43699580
2022,LIBTYPE000003,246003,목포과학대학교 도서관,전남,목포시,77600,1,101,732,49945826
2022,LIBTYPE000003,246002,목포대학교 도서관,전남,무안군,619157,9,2482,18952,610514540
2022,LIBTYPE000003,246004,목포해양대학교 도서관,전남,목포시,242033,4,335,3391,220013320
2022,LIBTYPE000003,247031,문경대학교 도서관,경북,문경시,42933,1,103,963,19632690
2022,LIBTYPE000003,225007,배재대학교 중앙도서관,대전,서구,790530,4,2312,36110,468000000
2022,LIBTYPE000003,211025,배화여자대학교 학술정보관,서울,종로구,157371,2,779,5037,80941156
2022,LIBTYPE000003,211074,백석대학교 도서관(서울),서울,서초구,315983,2,548,8607,180408565
2022,LIBTYPE000003,244020,백석대학교 도서관(천안),충남,천안시,878137,2,941,63658,696631991
2022,LIBTYPE000003,244023,백석문화대학교 도서관,충남,천안시,180973,1,248,14505,107020000
2022,LIBTYPE000003,245005,백제예술대학교 도서관,전북,완주군,47032,0,207,885,1044800
2022,LIBTYPE000003,211077,베뢰아국제대학원대학교 도서관,서울,영등포구,38192,2,81,2054,8493400
2022,LIBTYPE000003,221031,부경대학교 도서관,부산,남구,1309374,20,6194,92503,2073803242
2022,LIBTYPE000003,221037,부산가톨릭대학교 중앙도서관,부산,금정구,403741,1,1267,8355,249384304
2022,LIBTYPE000003,221013,부산경상대학교 도서관,부산,연제구,136109,0,294,2267,50651610
2022,LIBTYPE000003,221023,부산과학기술대학교 도서관,부산,북구,169393,1,95,623,60408000
2022,LIBTYPE000003,221015,부산교육대학교 도서관,부산,연제구,344581,4,1252,16552,219770697
2022,LIBTYPE000003,221016,부산대학교 도서관,부산,금정구,2531319,45,14022,217864,5277182260
2022,LIBTYPE000003,226006,부산디지털대학교 도서관,부산,사상구,3406,0,367,4998,9000000
2022,LIBTYPE000003,221021,부산여자대학교 중앙도서관,부산,부산진구,160552,3,302,2846,59024000
2022,LIBTYPE000003,221029,부산예술대학교 도서관,부산,남구,14469,0,15,23,5523940
2022,LIBTYPE000003,221022,부산외국어대학교 중앙도서관,부산,금정구,861859,2,3167,41063,431117355
2022,LIBTYPE000003,221034,부산장신대학교 도서관,부산,김해시,69209,0,200,3530,33515660
